Method,Bus,Threshold,Detection_Point,Accuracy,Recall,Precision,F1_Score,AUC
CUSUM,Bus115,5.0,609.0,0.583625730994152,0.17261904761904762,0.11788617886178862,0.14009661835748793,0.769797948291398
CUSUM,Bus115,10.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.769797948291398
CUSUM,Bus115,15.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.769797948291398
CUSUM,Bus116,5.0,16.0,0.2152046783625731,1.0,0.20023837902264602,0.3336643495531281,0.8213722534137381
CUSUM,Bus116,10.0,487.0,0.7263157894736842,0.8988095238095238,0.41032608695652173,0.5634328358208955,0.8213722534137381
CUSUM,Bus116,15.0,488.0,0.7251461988304093,0.8928571428571429,0.4087193460490463,0.5607476635514018,0.8213722534137381
CUSUM,Bus117,5.0,58.0,0.26432748538011697,1.0,0.2107904642409034,0.34818652849740933,0.5926561308657378
CUSUM,Bus117,10.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.5926561308657378
CUSUM,Bus117,15.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.5926561308657378
CUSUM,Bus118,5.0,18.0,0.21754385964912282,1.0,0.2007168458781362,0.33432835820895523,0.5319713038053651
CUSUM,Bus118,10.0,36.0,0.23859649122807017,1.0,0.20512820512820512,0.3404255319148936,0.5319713038053651
CUSUM,Bus118,15.0,55.0,0.2608187134502924,1.0,0.21,0.34710743801652894,0.5319713038053651
CUSUM,Bus119,5.0,101.0,0.3146198830409357,1.0,0.22281167108753316,0.3644251626898048,0.674785125112636
CUSUM,Bus119,10.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.674785125112636
CUSUM,Bus119,15.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.674785125112636
CUSUM,Bus121,5.0,524.0,0.6830409356725147,0.6785714285714286,0.34441087613293053,0.45691382765531063,0.797068863935676
CUSUM,Bus121,10.0,553.0,0.6491228070175439,0.5059523809523809,0.2814569536423841,0.3617021276595745,0.797068863935676
CUSUM,Bus121,15.0,-1.0,0.8035087719298246,0.0,0.0,0.0,0.797068863935676
CUSUM,Bus135,5.0,108.0,0.32280701754385965,1.0,0.2248995983935743,0.36721311475409835,0.8278228321896444
CUSUM,Bus135,10.0,138.0,0.35789473684210527,1.0,0.23430962343096234,0.37966101694915255,0.8278228321896444
CUSUM,Bus135,15.0,331.0,0.583625730994152,1.0,0.32061068702290074,0.48554913294797686,0.8278228321896444
CUSUM,Bus139,5.0,131.0,0.3497076023391813,1.0,0.23204419889502761,0.37668161434977576,0.628257780550357
